id,nation,resid,age,income,educ,occup,gender,area,nation_o,resid_o
1061732,2,2,7,8,1,12,1,2,2,2
1061733,2,2,3,8,1,5,2,2,2,2
1061734,2,2,4,3,2,1,1,2,2,2
1061735,2,2,5,8,1,12,1,2,2,2
1061736,2,2,3,8,2,2,1,2,2,2
1061737,2,3,6,8,1,12,2,2,2,3
1061738,4,4,5,4,2,1,1,2,4,4
1061739,4,4,6,8,1,10,2,2,4,4
1061740,4,4,4,1,1,4,2,2,4,4
1061741,1,1,7,8,1,10,2,2,1,1
1061742,1,1,5,8,1,1,1,2,1,1
1061743,1,1,7,8,1,10,2,2,1,1
1061744,1,1,7,8,1,10,2,2,1,1
1061745,2,3,2,3,2,8,1,2,2,3
1061746,2,3,5,8,1,10,2,2,2,3
1061747,2,2,3,8,1,10,2,2,2,2
1061748,2,2,2,8,2,4,2,2,2,2
1061749,2,2,6,8,1,10,2,2,2,2
1061750,2,2,3,1,1,5,2,2,2,2
1061751,2,2,2,8,2,13,2,2,2,2
1061752,2,2,2,8,1,10,2,2,2,2
1061753,55,55,3,2,2,1,2,2,55,55
1061754,70,70,2,6,2,2,1,2,71,71
1061755,2,2,4,8,2,10,2,2,2,2
1061756,2,2,2,2,2,2,2,2,2,2
1061757,2,3,3,4,2,1,2,2,2,3
1061758,60,60,3,7,2,2,1,2,60,60
1061759,2,2,6,8,1,12,1,2,2,2
1061760,2,2,3,2,3,2,1,2,2,2
1061761,2,2,2,3,2,2,1,2,2,2
1061762,2,2,3,2,2,2,2,2,2,2
1061763,2,2,3,5,2,1,1,2,2,2
1061764,80,2,4,4,3,2,1,2,81,2
1061765,2,2,2,3,2,2,2,2,2,2
1061766,2,2,2,1,2,2,2,2,2,2
1061767,2,2,2,2,2,2,2,2,2,2
1061768,2,2,3,2,2,2,1,3,2,2
1061769,2,2,7,1,2,12,1,3,2,2
1061770,2,2,2,8,2,11,2,3,2,2
1061771,2,2,6,8,1,12,1,3,2,2
1061772,2,2,3,5,3,4,1,3,2,2
1061773,2,2,2,2,2,5,2,3,2,2
1061774,2,2,6,1,1,12,2,3,2,2
1061775,1,1,2,5,2,4,2,3,1,1
1061776,1,1,3,5,2,4,1,3,1,1
1061777,1,1,5,6,3,1,1,3,1,1
1061778,1,1,4,5,2,2,1,3,1,1
1061779,1,1,2,5,2,4,2,3,1,1
1061780,1,1,2,8,2,11,1,3,1,1
1061781,1,1,7,4,1,12,2,3,1,1
1061782,1,1,4,6,3,2,2,3,1,1
1061783,2,2,6,1,2,12,1,3,2,2
1061784,2,2,2,8,2,11,2,3,2,2
1061785,2,2,3,4,3,3,2,3,2,2
1061786,2,2,3,3,2,4,2,3,2,2
1061787,2,2,3,2,2,4,2,3,2,2
1061788,2,2,2,1,2,5,2,3,2,2
1061789,2,2,3,2,2,2,1,3,2,2
1061790,1,1,5,6,2,1,1,3,1,1
1061791,1,1,3,6,3,3,1,3,1,1
1061792,1,1,4,6,2,2,1,3,1,1
1061793,1,1,5,7,2,10,2,3,1,1
1061794,1,1,5,6,2,1,1,3,1,1
1061795,1,1,4,8,2,10,2,3,1,1
1061796,1,1,7,5,1,12,1,3,1,1
1061797,1,1,3,5,2,2,1,3,1,1
1061798,2,3,2,3,2,2,1,4,2,3
1061799,51,3,1,8,1,11,2,4,51,3
1061800,2,2,2,3,2,2,2,4,2,2
1061801,2,3,2,4,2,2,1,4,2,3
1061802,2,3,3,4,2,3,2,4,2,3
1061803,52,52,3,3,2,1,2,4,52,52
1061804,2,3,2,3,2,5,1,4,2,3
1061805,2,3,3,8,3,2,2,4,2,3
1061806,2,3,2,3,2,2,1,4,2,3
1061807,2,3,5,3,2,2,1,4,2,3
1061808,2,3,4,5,2,1,1,4,2,3
1061809,2,2,3,2,3,3,1,4,2,2
1061810,2,2,6,8,2,12,2,4,2,2
1061811,2,3,3,3,2,2,1,4,2,3
1061812,2,2,3,5,3,1,1,4,2,2
1061813,2,3,5,6,3,2,2,4,2,3
1061814,2,3,2,3,2,2,2,4,2,3
1061815,2,3,3,3,2,2,1,4,2,3
1061816,2,3,3,7,3,2,1,4,2,3
1061817,2,3,5,3,1,2,1,4,2,3
1061818,2,3,6,8,1,12,2,4,2,3
1061819,2,3,3,5,2,2,1,4,2,3
1061820,2,3,2,4,1,4,2,4,2,3
1061821,55,55,2,8,2,5,1,4,55,55
1061822,2,3,3,4,1,1,1,4,2,3
1061823,2,3,2,3,2,4,2,4,2,3
1061824,2,2,2,1,2,4,2,4,2,2
1061825,2,3,5,3,1,2,2,4,2,3
1061826,2,3,6,8,1,12,1,4,2,3
1061827,2,3,2,4,2,2,1,4,2,3
1061828,2,2,4,3,1,1,1,1,2,2
1061829,2,2,4,3,1,1,2,1,2,2
1061830,1,1,4,3,2,4,1,1,1,1
1061831,1,1,4,5,1,1,1,1,1,1
1061832,1,1,4,3,1,1,1,1,1,1
1061833,51,51,5,8,1,1,1,1,51,51
1061834,51,51,7,8,1,12,1,1,51,51
1061835,2,2,3,2,2,2,2,1,2,2
1061836,1,1,3,2,2,3,1,1,1,1
1061837,2,3,7,5,1,1,1,1,2,3
1061838,1,1,7,8,1,12,1,1,1,1
1061839,1,1,5,5,2,1,1,1,1,1
1061840,1,1,6,8,1,12,1,1,1,1
1061841,2,2,2,1,2,4,2,1,2,2
1061842,2,3,5,8,1,10,2,1,2,3
1061843,1,1,6,5,1,4,1,1,1,1
1061844,1,1,5,7,2,1,1,1,1,1
1061845,1,1,2,8,3,11,1,1,1,1
1061846,1,1,7,2,2,12,1,1,1,1
1061847,1,1,4,5,2,2,1,1,1,1
1061848,1,1,4,3,1,4,2,1,1,1
1061849,1,1,3,5,2,1,1,1,1,1
1061850,1,1,2,8,2,11,2,1,1,1
1061851,1,1,5,7,3,1,1,1,1,1
1061852,2,2,3,5,2,2,1,1,2,2
1061853,2,2,3,3,2,4,2,1,2,2
1061854,2,2,6,1,2,12,1,1,2,2
1061855,2,2,3,2,2,4,2,1,2,2
1061856,51,51,3,5,3,1,1,1,51,51
1061857,51,51,7,2,1,12,1,1,51,51
1061858,1,1,5,5,2,1,1,1,1,1
1061859,1,1,7,5,1,1,1,1,1,1
1061860,1,1,4,8,2,10,2,1,1,1
1061861,2,3,4,3,2,7,1,1,2,3
1061862,2,2,7,8,1,10,2,1,2,2
1061863,1,1,6,5,1,4,1,1,1,1
1061864,2,3,3,5,3,2,1,1,2,3
1061865,2,2,4,2,2,2,2,1,2,2
1061866,2,2,4,1,1,5,2,1,2,2
1061867,2,2,3,1,2,4,1,1,2,2
1061868,2,2,2,2,2,2,1,1,2,2
1061869,2,2,3,8,1,5,2,1,2,2
1061870,2,2,4,2,1,4,2,1,2,2
1061871,2,2,5,8,1,13,1,1,2,2
1061872,1,1,4,3,2,4,2,1,1,1
1061873,1,1,4,5,2,2,2,1,1,1
1061874,1,1,3,5,2,2,1,1,1,1
1061875,1,1,4,6,2,4,2,1,1,1
1061876,1,1,2,8,2,11,1,1,1,1
1061877,1,1,5,4,2,4,2,1,1,1
1061878,1,1,4,5,2,4,1,1,1,1
1061879,1,1,5,7,2,1,1,1,1,1
1061880,1,1,7,2,2,12,1,1,1,1
1061881,1,1,6,8,1,10,2,1,1,1
1061882,51,51,2,5,2,2,2,1,51,51
1061883,51,51,3,5,1,1,2,1,51,51
1061884,2,2,6,1,1,12,1,1,2,2
1061885,2,2,2,3,2,2,2,1,2,2
1061886,2,2,5,1,1,12,1,1,2,2
1061887,2,2,2,2,2,4,2,1,2,2
1061888,1,1,4,6,3,1,1,1,1,1
1061889,1,1,4,5,2,1,1,1,1,1
1061890,1,1,2,4,2,4,2,1,1,1
1061891,1,1,5,8,1,10,2,1,1,1
1061892,2,2,2,2,2,2,1,1,2,2
1061893,2,2,2,8,3,11,2,1,2,2
1061894,2,2,3,5,3,1,1,1,2,2
1061895,2,2,3,3,2,1,2,1,2,2
1061896,1,1,6,8,1,10,2,1,1,1
1061897,1,1,2,8,2,11,2,1,1,1
1061898,1,1,4,5,2,3,1,1,1,1
1061899,1,1,4,6,2,4,2,1,1,1
1061900,51,51,4,8,2,10,2,1,51,51
1061901,51,51,3,3,2,5,2,1,51,51
1061902,1,1,6,7,1,1,1,1,1,1
1061903,50,50,2,2,2,2,2,1,50,50
1061904,80,80,3,7,2,2,1,1,81,81
1061905,2,2,4,4,1,2,1,1,2,2
1061906,2,2,2,3,2,5,2,1,2,2
1061907,2,2,2,5,2,2,1,1,2,2
1061908,2,3,3,1,2,2,1,1,2,3
1061909,2,3,2,8,2,11,2,1,2,3
1061910,2,2,3,2,2,2,2,1,2,2
1061911,60,60,2,4,2,2,1,1,60,60
1061912,90,90,5,5,2,2,1,1,922,922
1061913,2,2,5,8,2,10,2,1,2,2
1061914,2,2,4,3,2,2,1,1,2,2
1061915,60,60,3,5,2,2,1,1,60,60
1061916,55,55,4,2,2,5,1,1,55,55
1061917,55,55,3,4,2,3,2,1,55,55
1061918,1,1,7,6,1,1,1,1,1,1
1061919,1,1,7,4,2,12,2,1,1,1
1061920,1,1,2,8,2,11,2,1,1,1
1061921,1,1,4,5,2,2,2,1,1,1
1061922,1,1,1,8,1,11,2,1,1,1
1061923,1,1,6,5,2,12,1,1,1,1
1061924,1,1,1,8,1,11,1,1,1,1
1061925,1,1,3,5,2,2,2,1,1,1
1061926,51,51,5,8,2,2,2,1,51,51
1061927,2,3,5,3,2,5,1,1,2,3
1061928,2,3,3,5,2,2,1,1,2,3
1061929,2,2,5,8,2,10,2,1,2,2
1061930,2,2,3,2,3,2,2,1,2,2
1061931,2,2,3,1,2,5,2,1,2,2
1061932,2,2,7,8,1,12,1,1,2,2
1061933,2,2,6,8,1,12,1,1,2,2
1061934,2,2,2,8,2,11,2,1,2,2
1061935,2,2,5,8,2,12,2,1,2,2
1061936,55,55,2,1,2,2,2,1,55,55
1061937,55,55,3,2,2,4,2,1,55,55
1061938,51,51,7,8,1,12,1,1,51,51
1061939,50,50,3,3,1,1,1,1,50,50
1061940,4,4,5,5,2,8,1,1,4,4
1061941,4,4,4,6,2,3,1,1,4,4
1061942,4,4,2,8,2,11,2,1,4,4
1061943,4,4,2,4,2,2,1,1,4,4
1061944,4,4,5,8,2,9,2,1,4,4
1061945,4,4,3,4,2,2,2,1,4,4
1061946,4,4,3,8,3,11,2,1,4,4
1061947,4,4,3,3,2,5,2,1,4,4
1061948,4,4,5,8,2,10,2,1,4,4
1061949,4,4,2,3,2,5,2,1,4,4
1061950,4,4,4,6,2,3,1,1,4,4
1061951,4,4,5,5,2,1,1,1,4,4
1061952,4,4,6,8,1,6,1,1,4,4
1061953,4,4,3,2,2,5,2,1,4,4
1061954,4,4,4,7,2,2,1,1,4,4
1061955,4,4,5,8,2,10,2,1,4,4
1061956,55,55,4,2,2,5,2,1,55,55
1061957,55,55,5,1,1,1,1,1,55,55
1061958,50,50,3,2,1,5,2,1,50,50
1061959,51,51,3,6,2,1,2,1,51,51
1061960,55,55,6,8,1,10,2,1,55,55
1061961,55,55,3,3,2,2,2,1,55,55
1061962,55,55,3,8,2,4,2,1,55,55
1061963,60,60,4,5,3,2,2,1,60,60
1061964,90,90,2,8,2,11,2,1,921,921
1061965,55,55,3,3,2,1,1,1,55,55
1061966,50,50,3,2,2,2,2,1,50,50
1061967,54,54,3,2,2,2,1,1,54,54
1061968,54,54,2,1,2,3,2,1,54,54
1061969,2,3,2,4,3,2,2,1,2,3
1061970,2,3,3,5,2,2,2,1,2,3
1061971,55,55,7,8,1,12,1,1,55,55
1061972,55,55,1,8,2,11,2,1,55,55
1061973,60,60,5,7,3,1,1,1,60,60
1061974,70,70,2,5,2,5,1,1,79,79
1061975,51,51,2,8,1,11,1,1,51,51
1061976,2,2,2,3,2,3,2,1,2,2
1061977,2,2,3,1,2,5,1,1,2,2
1061978,50,50,2,1,1,5,2,1,50,50
1061979,4,4,2,8,2,11,1,1,4,4
1061980,4,4,3,4,2,5,1,1,4,4
1061981,4,4,3,5,2,2,1,1,4,4
1061982,4,4,6,5,1,1,1,1,4,4
1061983,4,4,2,2,2,5,2,1,4,4
1061984,4,4,2,3,2,5,2,1,4,4
1061985,4,4,2,8,2,11,2,1,4,4
1061986,4,4,5,4,1,5,2,1,4,4
1061987,55,55,2,8,2,2,2,1,55,55
1061988,53,53,4,6,2,2,1,1,53,53
1061989,90,90,4,6,2,2,1,1,921,921
1061990,60,60,4,5,2,2,1,1,60,60
1061991,80,3,4,5,2,2,2,1,81,3
1061992,2,2,2,1,2,2,2,1,2,2
1061993,2,2,4,8,2,2,1,1,2,2
1061994,2,2,2,8,2,2,2,1,2,2
1061995,70,4,3,8,2,2,1,1,71,4
1061996,2,3,3,2,2,2,2,1,2,3
1061997,50,50,2,8,2,2,2,1,50,50
1061998,2,2,6,8,1,12,1,1,2,2
1061999,2,2,5,1,1,2,1,1,2,2
1062000,60,60,2,8,2,11,2,1,60,60
1062001,70,70,3,4,2,2,2,1,74,74
1062002,2,2,3,2,2,4,1,1,2,2
1062003,1,1,3,5,1,5,2,1,1,1
1062004,2,2,3,2,2,2,2,1,2,2
1062005,2,2,3,2,2,2,1,1,2,2
1062006,1,1,4,3,2,4,2,1,1,1
1062007,1,1,6,5,1,4,1,1,1,1
1062008,1,1,4,7,3,3,1,1,1,1
1062009,2,2,2,8,2,11,2,1,2,2
1062010,1,1,5,8,1,10,2,1,1,1
1062011,1,1,6,8,2,10,2,1,1,1
1062012,51,51,3,3,2,2,2,1,51,51
1062013,51,51,4,6,3,2,1,1,51,51
1062014,1,1,1,8,1,11,2,1,1,1
1062015,52,52,6,8,2,2,2,1,52,52
1062016,52,52,2,1,2,5,1,1,52,52
1062017,2,2,6,8,2,10,2,1,2,2
1062018,2,2,2,1,2,5,2,1,2,2
1062019,2,2,3,3,3,4,1,1,2,2
1062020,52,52,2,2,2,10,2,1,52,52
1062021,52,52,4,8,3,1,2,1,52,52
1062022,52,52,4,2,2,2,2,1,52,52
1062023,1,1,6,8,2,10,2,1,1,1
1062024,1,1,5,8,1,10,2,1,1,1
1062025,1,1,5,5,2,4,2,1,1,1
1062026,1,1,4,5,2,4,1,1,1,1
1062027,2,2,3,2,2,2,1,1,2,2
1062028,51,51,4,3,1,5,2,1,51,51
1062029,51,51,3,5,3,2,1,1,51,51
1062030,1,1,3,5,2,5,1,1,1,1
1062031,1,1,5,5,2,4,2,1,1,1
1062032,60,60,3,4,2,2,2,1,60,60
1062033,50,50,2,1,1,5,2,1,50,50
1062034,50,50,2,1,2,2,2,1,50,50
1062035,2,2,4,2,2,2,1,1,2,2
1062036,2,2,3,2,2,2,1,1,2,2
1062037,2,2,4,3,3,2,2,1,2,2
1062038,2,2,2,2,2,5,2,1,2,2
1062039,90,90,4,8,2,1,1,1,933,933
1062040,2,2,4,2,2,2,1,1,2,2
1062041,2,2,7,8,1,12,2,1,2,2
1062042,2,3,3,3,2,2,2,1,2,3
1062043,54,54,3,2,2,5,2,1,54,54
1062044,2,3,5,8,2,12,1,1,2,3
1062045,53,53,5,3,2,1,2,1,53,53
1062046,55,55,2,2,3,2,2,1,55,55
1062047,2,2,3,4,2,5,1,1,2,2
1062048,2,80,2,5,2,2,2,1,2,82
1062049,2,2,2,3,2,2,2,1,2,2
1062050,2,2,2,2,2,2,2,1,2,2
1062051,2,2,2,2,2,2,2,1,2,2
1062052,2,3,3,6,3,2,1,1,2,3
1062053,54,54,3,3,3,2,2,1,54,54
1062054,2,2,4,8,2,1,1,1,2,2
1062055,2,3,4,4,1,1,2,1,2,3
1062056,60,60,3,7,3,2,1,1,60,60
1062057,60,60,5,4,2,4,2,1,60,60
1062058,60,60,7,8,3,12,1,1,60,60
1062059,2,2,2,4,3,2,2,1,2,2
1062060,70,70,5,7,3,1,1,1,73,73
1062061,2,3,5,5,1,3,2,1,2,3
1062062,80,80,7,8,1,12,1,1,81,81
1062063,60,60,6,8,3,12,2,1,60,60
1062064,55,55,2,2,2,2,2,1,55,55
1062065,55,55,3,1,1,5,2,1,55,55
1062066,53,53,3,5,3,1,2,1,53,53
1062067,1,1,2,5,2,4,1,1,1,1
1062068,2,3,2,3,2,4,2,1,2,3
1062069,2,3,3,3,2,1,1,1,2,3
1062070,2,2,2,2,2,4,1,1,2,2
1062071,1,1,6,8,1,12,1,1,1,1
1062072,1,1,7,8,1,12,1,1,1,1
1062073,2,3,2,8,2,11,1,1,2,3
1062074,52,52,1,8,2,11,1,1,52,52
1062075,52,52,4,8,2,1,2,1,52,52
1062076,52,52,5,2,2,2,2,1,52,52
1062077,2,2,3,3,2,1,1,1,2,2
1062078,2,2,3,2,2,2,1,1,2,2
1062079,2,2,2,1,2,5,2,1,2,2
1062080,2,2,2,8,2,5,2,1,2,2
1062081,2,2,2,1,2,5,2,1,2,2
1062082,50,70,4,6,3,1,1,1,50,74
1062083,50,50,4,1,1,4,2,1,50,50
1062084,50,50,2,1,2,2,2,1,50,50
1062085,2,3,3,3,1,1,2,1,2,3
1062086,2,3,5,3,1,12,1,1,2,3
1062087,2,2,3,6,2,2,1,1,2,2
1062088,2,2,5,5,3,1,1,1,2,2
1062089,90,90,2,3,2,2,2,1,921,921
1062090,60,60,6,8,3,12,1,1,60,60
1062091,2,3,7,8,1,12,1,1,2,3
1062092,2,2,2,2,3,2,2,1,2,2
1062093,2,2,2,8,1,11,1,1,2,2
1062094,90,70,3,99,3,1,1,1,921,73
1062095,2,2,4,4,3,2,2,1,2,2
1062096,2,2,3,3,2,5,2,1,2,2
1062097,2,2,2,2,2,5,2,1,2,2
1062098,60,60,5,5,1,5,2,1,60,60
1062099,60,60,7,8,3,12,2,1,60,60
1062100,70,70,4,5,2,2,1,1,78,78
1062101,54,54,2,2,2,4,2,1,54,54
1062102,50,50,4,2,2,2,2,1,50,50
1062103,2,3,2,8,2,11,2,1,2,3
1062104,2,3,3,3,1,5,1,1,2,3
1062105,70,70,3,3,2,3,1,1,72,72
1062106,60,60,2,8,2,11,1,1,60,60
1062107,2,2,3,4,2,2,2,1,2,2
1062108,54,54,3,2,2,5,2,1,54,54
1062109,2,2,3,3,3,2,1,1,2,2
1062110,2,2,3,3,2,5,2,1,2,2
1062111,2,2,4,4,2,2,1,1,2,2
1062112,2,2,3,3,3,2,1,1,2,2
1062113,2,2,3,5,3,2,2,1,2,2
1062114,70,70,4,5,2,2,1,1,79,79
1062115,60,60,6,7,1,2,1,1,60,60
1062116,70,59,4,5,2,1,1,1,72,58
1062117,2,2,2,1,2,4,1,1,2,2
1062118,2,2,7,8,1,12,2,1,2,2
1062119,2,2,1,8,1,11,1,1,2,2
1062120,52,52,5,5,2,2,2,1,52,52
1062121,52,52,6,8,2,2,1,1,52,52
1062122,53,53,3,4,2,2,2,1,53,53
1062123,53,53,4,3,2,2,2,1,53,53
1062124,2,2,3,8,1,10,2,1,2,2
1062125,2,2,2,8,1,10,2,1,2,2
1062126,53,53,2,2,2,10,2,1,53,53
1062127,2,3,6,8,1,10,2,1,2,3
1062128,53,53,4,4,3,2,2,1,53,53
1062129,2,3,2,2,2,2,2,1,2,3
1062130,2,2,2,1,1,5,2,1,2,2
1062131,50,50,4,5,2,1,1,1,50,50
1062132,50,50,5,8,1,12,1,1,50,50
1062133,51,51,5,8,1,10,2,1,51,51
1062134,2,2,2,2,2,8,1,1,2,2
1062135,2,2,4,8,1,5,2,1,2,2
1062136,2,3,4,8,2,10,2,1,2,3
1062137,2,2,4,4,2,2,1,1,2,2
1062138,4,4,6,8,1,10,2,1,4,4
1062139,4,4,2,4,1,8,2,1,4,4
1062140,4,4,2,4,1,8,2,1,4,4
1062141,4,4,6,6,2,3,1,1,4,4
1062142,4,4,3,8,3,10,2,1,4,4
1062143,4,4,4,3,2,99,2,1,4,4
1062144,4,4,6,5,2,12,1,1,4,4
1062145,4,4,2,8,2,7,2,1,4,4
1062146,2,2,3,3,2,7,2,1,2,2
1062147,50,50,4,2,1,2,2,1,50,50
1062148,60,60,4,6,2,2,1,1,60,60
1062149,60,60,3,5,2,2,1,1,60,60
1062150,2,2,2,8,2,2,2,1,2,2
1062151,2,2,3,8,1,2,2,1,2,2
1062152,2,2,4,2,2,2,1,1,2,2
1062153,2,3,6,8,1,12,1,1,2,3
1062154,2,2,4,2,1,2,1,1,2,2
1062155,2,2,4,8,2,2,2,1,2,2
1062156,2,3,3,4,2,2,1,1,2,3
1062157,2,3,3,3,2,2,2,1,2,3
1062158,53,53,3,5,2,2,2,1,53,53
1062159,55,55,2,8,2,11,2,1,55,55
1062160,70,70,2,8,2,2,2,1,73,73
1062161,70,70,4,8,2,2,1,1,71,71
1062162,53,53,3,3,2,2,1,1,53,53
1062163,53,53,2,4,2,2,1,1,53,53
1062164,53,53,3,8,3,2,2,1,53,53
1062165,53,53,3,4,3,2,2,1,53,53
1062166,53,53,4,5,2,1,2,1,53,53
1062167,53,53,4,3,2,2,1,1,53,53
1062168,53,53,2,8,2,2,2,1,53,53
1062169,53,53,2,2,2,2,2,1,53,53
1062170,53,53,3,4,2,2,1,1,53,53
1062171,2,3,5,4,2,1,1,1,2,3
1062172,2,2,3,3,2,2,2,1,2,2
1062173,2,3,3,3,2,4,2,1,2,3
1062174,2,2,2,3,2,2,2,1,2,2
1062175,51,51,2,2,2,2,2,1,51,51
1062176,51,51,5,8,1,12,1,1,51,51
1062177,2,3,2,2,2,2,1,1,2,3
1062178,4,4,3,5,2,5,2,1,4,4
1062179,2,3,2,5,2,2,1,1,2,3
1062180,4,4,3,5,2,4,2,1,4,4
1062181,4,4,4,7,2,2,1,1,4,4
1062182,4,4,5,4,3,5,2,1,4,4
1062183,4,4,3,1,3,99,2,1,4,4
1062184,4,4,2,3,2,2,2,1,4,4
1062185,4,4,4,7,2,4,1,1,4,4
1062186,2,3,1,8,1,11,2,1,2,3
1062187,2,3,2,5,2,3,2,1,2,3
1062188,4,4,2,3,2,2,1,1,4,4
1062189,2,2,2,3,2,2,2,1,2,2
1062190,2,2,3,2,2,2,1,1,2,2
1062191,2,2,3,4,2,5,2,1,2,2
1062192,2,2,5,2,2,2,1,1,2,2
1062193,53,53,4,3,3,5,2,1,53,53
1062194,53,53,4,3,2,2,1,1,53,53
1062195,1,1,7,8,2,12,1,1,1,1
1062196,1,1,4,6,2,1,1,1,1,1
1062197,1,1,7,8,1,12,1,1,1,1
1062198,1,1,3,5,2,4,2,1,1,1
1062199,1,1,3,6,3,2,2,1,1,1
1062200,1,1,5,8,2,10,2,1,1,1
1062201,51,51,6,7,3,2,1,1,51,51
1062202,51,51,3,4,2,1,2,1,51,51
1062203,1,1,5,5,2,2,2,1,1,1
1062204,50,50,4,2,2,2,1,1,50,50
1062205,50,50,3,99,2,5,2,1,50,50
1062206,54,54,3,4,2,2,2,1,54,54
1062207,54,54,4,2,3,2,2,1,54,54
1062208,60,60,2,1,2,11,2,1,60,60
1062209,2,3,5,8,2,10,2,1,2,3
1062210,2,3,6,8,2,12,1,1,2,3
1062211,80,80,4,5,3,2,2,1,82,82
1062212,55,55,5,4,3,2,1,1,55,55
1062213,51,51,4,3,2,2,2,1,51,51
1062214,2,3,3,3,2,2,1,1,2,3
1062215,2,3,3,3,2,4,2,1,2,3
1062216,2,3,2,4,2,2,2,1,2,3
1062217,60,60,4,7,3,2,1,1,60,60
1062218,90,90,5,5,3,5,1,1,921,921
1062219,60,60,5,7,3,2,2,1,60,60
1062220,60,60,4,5,2,2,1,1,60,60
1062221,70,60,5,7,3,3,1,1,71,60
1062222,60,60,4,7,3,2,2,1,60,60
1062223,2,53,1,8,1,11,2,1,2,53
1062224,90,90,3,3,3,2,2,1,901,901
1062225,53,53,5,7,2,1,1,1,53,53
1062226,70,70,5,7,2,1,1,1,79,79
1062227,4,4,3,3,2,2,2,1,4,4
1062228,51,51,3,6,3,3,1,1,51,51
1062229,50,50,2,1,2,3,1,1,50,50
1062230,50,50,2,2,2,2,2,1,50,50
1062231,4,4,3,4,3,4,1,1,4,4
1062232,50,50,2,8,1,13,1,1,50,50
1062233,4,4,3,5,3,2,1,1,4,4
1062234,4,4,5,8,2,10,2,1,4,4
1062235,4,4,2,3,3,5,2,1,4,4
1062236,4,4,3,3,2,5,1,1,4,4
1062237,2,3,2,3,1,5,1,1,2,3
1062238,4,4,2,2,2,5,2,1,4,4
1062239,60,60,3,4,2,2,1,1,60,60
1062240,2,3,5,3,1,5,1,1,2,3
1062241,2,3,3,8,2,10,2,1,2,3
1062242,50,50,4,8,1,10,2,1,50,50
1062243,54,54,3,8,3,13,1,1,54,54
1062244,2,3,2,3,2,3,2,1,2,3
1062245,59,59,2,8,2,1,2,1,56,56
1062246,70,70,2,1,1,9,1,1,73,73
1062247,53,53,4,8,3,1,1,1,53,53
1062248,52,52,2,8,3,11,2,1,52,52
1062249,90,90,5,7,2,1,1,1,915,915
1062250,70,70,2,8,2,99,1,1,73,73
1062251,60,60,4,7,2,2,1,1,60,60
1062252,60,60,4,8,2,2,1,1,60,60
1062253,70,70,5,6,2,2,2,1,73,73
1062254,80,80,2,8,2,2,1,1,81,81
1062255,53,53,3,8,2,2,1,1,53,53
1062256,90,90,5,6,2,2,1,1,913,916
1062257,50,50,2,8,2,11,2,1,50,50
1062258,2,3,4,3,2,2,1,1,2,3
1062259,2,3,3,2,2,2,2,1,2,3
1062260,2,2,4,3,2,2,1,1,2,2
1062261,1,1,5,7,1,1,1,1,1,1
1062262,1,1,5,5,1,2,1,1,1,1
1062263,51,51,4,2,1,4,2,1,51,51
1062264,51,51,4,5,2,5,1,1,51,51
1062265,54,54,3,2,2,5,2,1,54,54
1062266,2,3,3,5,3,2,2,1,2,3
1062267,54,54,4,3,2,2,2,1,54,54
1062268,50,50,4,2,2,2,1,1,50,50
1062269,50,50,4,1,1,2,2,1,50,50
1062270,2,3,5,5,2,2,1,1,2,3
1062271,53,53,5,2,3,2,2,1,53,53
1062272,60,60,6,6,3,2,1,1,60,60
1062273,2,2,3,3,3,2,2,1,2,2
1062274,2,2,2,8,3,11,2,1,2,2
1062275,2,2,7,8,1,12,2,1,2,2
1062276,2,2,7,8,2,12,2,1,2,2
1062277,90,90,2,1,2,11,1,1,921,921
1062278,51,51,4,4,2,3,2,1,51,51
1062279,50,50,2,5,1,1,2,1,50,50
1062280,2,3,2,3,2,2,1,1,2,3
1062281,2,3,3,1,1,2,1,1,2,3
1062282,2,2,3,3,2,1,2,1,2,2
1062283,2,3,3,3,2,3,2,1,2,3
1062284,2,2,3,3,2,2,2,1,2,2
1062285,2,2,3,1,1,7,1,1,2,2
1062286,2,3,3,2,2,2,2,1,2,3
1062287,4,4,5,6,3,2,1,1,4,4
1062288,4,4,2,5,2,2,1,1,4,4
1062289,4,4,2,3,2,2,2,1,4,4
1062290,4,4,4,4,2,2,2,1,4,4
1062291,4,4,3,4,2,2,2,1,4,4
1062292,2,3,2,2,2,5,2,1,2,3
1062293,2,3,3,5,2,2,2,1,2,3
1062294,2,3,5,1,1,99,2,1,2,3
1062295,51,51,6,6,2,1,1,1,51,51
1062296,2,2,4,2,2,5,1,1,2,2
1062297,2,2,5,2,2,99,1,1,2,2
1062298,2,2,5,1,1,12,2,1,2,2
1062299,2,2,5,2,2,3,1,1,2,2
1062300,60,60,3,5,3,3,1,1,60,60
1062301,2,3,4,5,2,3,1,1,2,3
1062302,50,50,3,4,3,2,2,1,50,50
1062303,2,3,2,8,2,11,1,1,2,3
1062304,54,54,2,1,2,5,2,1,54,54
1062305,70,70,4,4,2,2,1,1,72,72
1062306,60,60,2,6,2,2,1,1,60,60
1062307,55,55,3,1,2,5,1,1,55,55
1062308,70,70,5,7,2,2,1,1,79,79
1062309,50,50,4,1,1,2,2,1,50,50
1062310,52,52,3,2,2,2,2,1,52,52
1062311,60,60,3,1,3,11,1,1,60,60
1062312,54,54,4,2,2,2,2,1,54,54
